Model,Dimensions,Volume,Weight,Category,Price
NHINO STOOL 0010-H47,h 47 w 44 d 36,0.10 mc,5 kg,Cat. C,335 EUR
NHINO STOOL 0011-H67,h 67 w 44 d 43,0.14 mc,5.5 kg,Cat. C,377 EUR
NHINO STOOL 0012-H77,h 77 w 44 d 47,0.16 mc,6 kg,Cat. C,399 EUR
NHINO STOOL 0013-H47-IMB,h 47 w 44 d 36,0.10 mc,5 kg,Cat. C,373 EUR
JULIE 0020-LE,h 77 w 43 d 47,0.29 mc,12 kg,Cat. C,395 EUR
JULIE 0020-LE-AR,h 77 w 53 d 47,0.24 mc,10 kg,Cat. C,419 EUR
JULIE 0021-IMB,h 77 w 43 d 47,0.29 mc,12 kg,Cat. C,333 EUR
JULIE 0021-IMB-AR,h 77 w 53 d 47,0.24 mc,10 kg,Cat. C,480 EUR
JULIE 0022-CU-LE,h 77 w 43 d 47,0.29 mc,12 kg,Cat. C,546 EUR
JULIE 0022-CU-LE-AR,h 77 w 53 d 47,0.24 mc,10 kg,Cat. C,710 EUR
