Item Code,Model,Designer,Height (cm),Width (cm),Depth (cm),Seat Height (cm),Weight,Volume (m^3)
0010-H47,NHINO STOOL,Emilio Nanni,47,44,36,47,5 kg,0.0
0011-H67,NHINO STOOL,Emilio Nanni,67,44,43,67,6 kg,0.0
0020-LE,JULIE,Emilio Nanni,77,43,47,47,12 kg,0.0
0021-IMB,JULIE,Emilio Nanni,77,43,47,47,12 kg,0.0
0023-CU,JULIE,Emilio Nanni,77,43,47,47,12 kg,0.0
0024-IN,JULIE,Emilio Nanni,77,43,47,47,12 kg,0.0
0031-MET,BARDOT MET,Emilio Nanni,77,45,54,47,14 kg,0.0
0047-MET,GENOA,Cesare EHR,73,42,51,47,24 kg,0.0
0048-MET,GENOA,Cesare EHR,73,51,51,47,24 kg,0.0
0082-MET,SKIN,Giacomo Cattani,80,58,57,47,10 kg,0.0
0084-MET,SKIN,Giacomo Cattani,80,58,57,47,10 kg,0.0
0171-CB,METIS DOT,Studio Gabbertas,80,59,53,47,24 kg,0.0
0172-LOUNGE,METIS DOT,Studio Gabbertas,71,60,61,40,17 kg,0.0
0175-LE,METIS WOOD,Studio Gabbertas,80,52,53,47,24 kg,0.0
0180-IM,METIS PAD,Studio Gabbertas,80,52,53,47,24 kg,0.0
0191-CB,METIS LINE,Studio Gabbertas,80,59,53,47,24 kg,0.0
0192-LOUNGE,METIS LINE LOUNGE,Studio Gabbertas,71,60,61,40,17 kg,0.0
